年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前七百七十二年,-772,己巳,蛇,周朝,西周,,西周幽王姬宫涅,,幽王十年,,
公元前七百七十一年,-771,庚午,马,周朝,西周,,西周幽王姬宫涅,,幽王十一年,,
公元前七百七十年,-770,辛未,羊,周朝,东周,春秋,东周平王姬宜臼,,平王元年,,
公元前七百六十九年,-769,壬申,猴,周朝,东周,春秋,东周平王姬宜臼,,平王二年,,
公元前七百六十八年,-768,癸酉,鸡,周朝,东周,春秋,东周平王姬宜臼,,平王三年,,
公元前七百六十七年,-767,甲戌,狗,周朝,东周,春秋,东周平王姬宜臼,,平王四年,,
公元前七百六十六年,-766,乙亥,猪,周朝,东周,春秋,东周平王姬宜臼,,平王五年,,
公元前七百六十五年,-765,丙子,鼠,周朝,东周,春秋,东周平王姬宜臼,,平王六年,,
公元前七百六十四年,-764,丁丑,牛,周朝,东周,春秋,东周平王姬宜臼,,平王七年,,
公元前七百六十三年,-763,戊寅,虎,周朝,东周,春秋,东周平王姬宜臼,,平王八年,,
公元前七百六十二年,-762,己卯,兔,周朝,东周,春秋,东周平王姬宜臼,,平王九年,,
公元前七百六十一年,-761,庚辰,龙,周朝,东周,春秋,东周平王姬宜臼,,平王十年,,
公元前七百六十年,-760,辛巳,蛇,周朝,东周,春秋,东周平王姬宜臼,,平王十一年,,
公元前七百五十九年,-759,壬午,马,周朝,东周,春秋,东周平王姬宜臼,,平王十二年,,
公元前七百五十八年,-758,癸未,羊,周朝,东周,春秋,东周平王姬宜臼,,平王十三年,,
公元前七百五十七年,-757,甲申,猴,周朝,东周,春秋,东周平王姬宜臼,,平王十四年,,
公元前七百五十六年,-756,乙酉,鸡,周朝,东周,春秋,东周平王姬宜臼,,平王十五年,,
公元前七百五十五年,-755,丙戌,狗,周朝,东周,春秋,东周平王姬宜臼,,平王十六年,,
公元前七百五十四年,-754,丁亥,猪,周朝,东周,春秋,东周平王姬宜臼,,平王十七年,,
公元前七百五十三年,-753,戊子,鼠,周朝,东周,春秋,东周平王姬宜臼,,平王十八年,,
公元前七百五十二年,-752,己丑,牛,周朝,东周,春秋,东周平王姬宜臼,,平王十九年,,
公元前七百五十一年,-751,庚寅,虎,周朝,东周,春秋,东周平王姬宜臼,,平王二十年,,
公元前七百五十年,-750,辛卯,兔,周朝,东周,春秋,东周平王姬宜臼,,平王二十一年,,
公元前七百四十九年,-749,壬辰,龙,周朝,东周,春秋,东周平王姬宜臼,,平王二十二年,,
公元前七百四十八年,-748,癸巳,蛇,周朝,东周,春秋,东周平王姬宜臼,,平王二十三年,,
公元前七百四十七年,-747,甲午,马,周朝,东周,春秋,东周平王姬宜臼,,平王二十四年,,
公元前七百四十六年,-746,乙未,羊,周朝,东周,春秋,东周平王姬宜臼,,平王二十五年,,
公元前七百四十五年,-745,丙申,猴,周朝,东周,春秋,东周平王姬宜臼,,平王二十六年,,
公元前七百四十四年,-744,丁酉,鸡,周朝,东周,春秋,东周平王姬宜臼,,平王二十七年,,
公元前七百四十三年,-743,戊戌,狗,周朝,东周,春秋,东周平王姬宜臼,,平王二十八年,,
公元前七百四十二年,-742,己亥,猪,周朝,东周,春秋,东周平王姬宜臼,,平王二十九年,,
公元前七百四十一年,-741,庚子,鼠,周朝,东周,春秋,东周平王姬宜臼,,平王三十年,,
公元前七百四十年,-740,辛丑,牛,周朝,东周,春秋,东周平王姬宜臼,,平王三十一年,,
公元前七百三十九年,-739,壬寅,虎,周朝,东周,春秋,东周平王姬宜臼,,平王三十二年,,
公元前七百三十八年,-738,癸卯,兔,周朝,东周,春秋,东周平王姬宜臼,,平王三十三年,,
公元前七百三十七年,-737,甲辰,龙,周朝,东周,春秋,东周平王姬宜臼,,平王三十四年,,
公元前七百三十六年,-736,乙巳,蛇,周朝,东周,春秋,东周平王姬宜臼,,平王三十五年,,
公元前七百三十五年,-735,丙午,马,周朝,东周,春秋,东周平王姬宜臼,,平王三十六年,,
公元前七百三十四年,-734,丁未,羊,周朝,东周,春秋,东周平王姬宜臼,,平王三十七年,,
公元前七百三十三年,-733,戊申,猴,周朝,东周,春秋,东周平王姬宜臼,,平王三十八年,,
公元前七百三十二年,-732,己酉,鸡,周朝,东周,春秋,东周平王姬宜臼,,平王三十九年,,
公元前七百三十一年,-731,庚戌,狗,周朝,东周,春秋,东周平王姬宜臼,,平王四十年,,
公元前七百三十年,-730,辛亥,猪,周朝,东周,春秋,东周平王姬宜臼,,平王四十一年,,
公元前七百二十九年,-729,壬子,鼠,周朝,东周,春秋,东周平王姬宜臼,,平王四十二年,,
公元前七百二十八年,-728,癸丑,牛,周朝,东周,春秋,东周平王姬宜臼,,平王四十三年,,
公元前七百二十七年,-727,甲寅,虎,周朝,东周,春秋,东周平王姬宜臼,,平王四十四年,,
公元前七百二十六年,-726,乙卯,兔,周朝,东周,春秋,东周平王姬宜臼,,平王四十五年,,
公元前七百二十五年,-725,丙辰,龙,周朝,东周,春秋,东周平王姬宜臼,,平王四十六年,,
公元前七百二十四年,-724,丁巳,蛇,周朝,东周,春秋,东周平王姬宜臼,,平王四十七年,,
公元前七百二十三年,-723,戊午,马,周朝,东周,春秋,东周平王姬宜臼,,平王四十八年,,
公元前七百二十二年,-722,己未,羊,周朝,东周,春秋,东周平王姬宜臼,,平王四十九年,,
公元前七百二十一年,-721,庚申,猴,周朝,东周,春秋,东周平王姬宜臼,,平王五十年,,
公元前七百二十年,-720,辛酉,鸡,周朝,东周,春秋,东周平王姬宜臼,,平王五十一年,,
公元前七百一十九年,-719,壬戌,狗,周朝,东周,春秋,东周桓王姬林,,桓王元年,,
公元前七百一十八年,-718,癸亥,猪,周朝,东周,春秋,东周桓王姬林,,桓王二年,,
公元前七百一十七年,-717,甲子,鼠,周朝,东周,春秋,东周桓王姬林,,桓王三年,,
公元前七百一十六年,-716,乙丑,牛,周朝,东周,春秋,东周桓王姬林,,桓王四年,,
公元前七百一十五年,-715,丙寅,虎,周朝,东周,春秋,东周桓王姬林,,桓王五年,,
公元前七百一十四年,-714,丁卯,兔,周朝,东周,春秋,东周桓王姬林,,桓王六年,,
公元前七百一十三年,-713,戊辰,龙,周朝,东周,春秋,东周桓王姬林,,桓王七年,,
公元前七百一十二年,-712,己巳,蛇,周朝,东周,春秋,东周桓王姬林,,桓王八年,,
公元前七百一十一年,-711,庚午,马,周朝,东周,春秋,东周桓王姬林,,桓王九年,,
公元前七百一十年,-710,辛未,羊,周朝,东周,春秋,东周桓王姬林,,桓王十年,,
公元前七百零九年,-709,壬申,猴,周朝,东周,春秋,东周桓王姬林,,桓王十一年,,
公元前七百零八年,-708,癸酉,鸡,周朝,东周,春秋,东周桓王姬林,,桓王十二年,,
公元前七百零七年,-707,甲戌,狗,周朝,东周,春秋,东周桓王姬林,,桓王十三年,,
公元前七百零六年,-706,乙亥,猪,周朝,东周,春秋,东周桓王姬林,,桓王十四年,,
公元前七百零五年,-705,丙子,鼠,周朝,东周,春秋,东周桓王姬林,,桓王十五年,,
公元前七百零四年,-704,丁丑,牛,周朝,东周,春秋,东周桓王姬林,,桓王十六年,,
公元前七百零三年,-703,戊寅,虎,周朝,东周,春秋,东周桓王姬林,,桓王十七年,,
公元前七百零二年,-702,己卯,兔,周朝,东周,春秋,东周桓王姬林,,桓王十八年,,
公元前七百零一年,-701,庚辰,龙,周朝,东周,春秋,东周桓王姬林,,桓王十九年,,
公元前七百年,-700,辛巳,蛇,周朝,东周,春秋,东周桓王姬林,,桓王二十年,,
公元前六百九十九年,-699,壬午,马,周朝,东周,春秋,东周桓王姬林,,桓王二十一年,,
公元前六百九十八年,-698,癸未,羊,周朝,东周,春秋,东周桓王姬林,,桓王二十二年,,
公元前六百九十七年,-697,甲申,猴,周朝,东周,春秋,东周桓王姬林,,桓王二十三年,,
公元前六百九十六年,-696,乙酉,鸡,周朝,东周,春秋,东周庄王姬佗,,庄王元年,,
公元前六百九十五年,-695,丙戌,狗,周朝,东周,春秋,东周庄王姬佗,,庄王二年,,
公元前六百九十四年,-694,丁亥,猪,周朝,东周,春秋,东周庄王姬佗,,庄王三年,,
公元前六百九十三年,-693,戊子,鼠,周朝,东周,春秋,东周庄王姬佗,,庄王四年,庄公元年,
公元前六百九十二年,-692,己丑,牛,周朝,东周,春秋,东周庄王姬佗,,庄王五年,庄公二年,
公元前六百九十一年,-691,庚寅,虎,周朝,东周,春秋,东周庄王姬佗,,庄王六年,庄公三年,
公元前六百九十年,-690,辛卯,兔,周朝,东周,春秋,东周庄王姬佗,,庄王七年,庄公四年,
公元前六百八十九年,-689,壬辰,龙,周朝,东周,春秋,东周庄王姬佗,,庄王八年,庄公五年,
公元前六百八十八年,-688,癸巳,蛇,周朝,东周,春秋,东周庄王姬佗,,庄王九年,庄公六年,
公元前六百八十七年,-687,甲午,马,周朝,东周,春秋,东周庄王姬佗,,庄王十年,庄公七年,
公元前六百八十六年,-686,乙未,羊,周朝,东周,春秋,东周庄王姬佗,,庄王十一年,庄公八年,
公元前六百八十五年,-685,丙申,猴,周朝,东周,春秋,东周庄王姬佗,,庄王十二年,庄公九年,
公元前六百八十四年,-684,丁酉,鸡,周朝,东周,春秋,东周庄王姬佗,,庄王十三年,庄公十年,
公元前六百八十三年,-683,戊戌,狗,周朝,东周,春秋,东周庄王姬佗,,庄王十四年,庄公十一年,
公元前六百八十二年,-682,己亥,猪,周朝,东周,春秋,东周庄王姬佗,,庄王十五年,庄公十二年,
公元前六百八十一年,-681,庚子,鼠,周朝,东周,春秋,东周釐王姬胡齐,,釐王元年,庄公十三年,
公元前六百八十年,-680,辛丑,牛,周朝,东周,春秋,东周釐王姬胡齐,,釐王二年,庄公十四年,
公元前六百七十九年,-679,壬寅,虎,周朝,东周,春秋,东周釐王姬胡齐,,釐王三年,庄公十五年,
公元前六百七十八年,-678,癸卯,兔,周朝,东周,春秋,东周釐王姬胡齐,,釐王四年,庄公十六年,
公元前六百七十七年,-677,甲辰,龙,周朝,东周,春秋,东周釐王姬胡齐,,釐王五年,庄公十七年,
公元前六百七十六年,-676,乙巳,蛇,周朝,东周,春秋,东周惠王姬阆,,惠王元年,庄公十八年,献公元年
公元前六百七十五年,-675,丙午,马,周朝,东周,春秋,东周惠王姬阆,,惠王二年,庄公十九年,献公二年
公元前六百七十四年,-674,丁未,羊,周朝,东周,春秋,东周惠王姬阆,,惠王三年,庄公二十年,献公三年
公元前六百七十三年,-673,戊申,猴,周朝,东周,春秋,东周惠王姬阆,,惠王四年,庄公二十一年,献公四年
公元前六百七十二年,-672,己酉,鸡,周朝,东周,春秋,东周惠王姬阆,,惠王五年,庄公二十二年,献公五年
公元前六百七十一年,-671,庚戌,狗,周朝,东周,春秋,东周惠王姬阆,,惠王六年,庄公二十三年,献公六年
公元前六百七十年,-670,辛亥,猪,周朝,东周,春秋,东周惠王姬阆,,惠王七年,庄公二十四年,献公七年
公元前六百六十九年,-669,壬子,鼠,周朝,东周,春秋,东周惠王姬阆,,惠王八年,庄公二十五年,献公八年
公元前六百六十八年,-668,癸丑,牛,周朝,东周,春秋,东周惠王姬阆,,惠王九年,庄公二十六年,献公九年
公元前六百六十七年,-667,甲寅,虎,周朝,东周,春秋,东周惠王姬阆,,惠王十年,献公十年,
公元前六百六十六年,-666,乙卯,兔,周朝,东周,春秋,东周惠王姬阆,,惠王十一年,献公十一年,
公元前六百六十五年,-665,丙辰,龙,周朝,东周,春秋,东周惠王姬阆,,惠王十二年,献公十二年,
公元前六百六十四年,-664,丁巳,蛇,周朝,东周,春秋,东周惠王姬阆,,惠王十三年,献公十三年,
公元前六百六十三年,-663,戊午,马,周朝,东周,春秋,东周惠王姬阆,,惠王十四年,献公十四年,
公元前六百六十二年,-662,己未,羊,周朝,东周,春秋,东周惠王姬阆,,惠王十五年,献公十五年,
公元前六百六十一年,-661,庚申,猴,周朝,东周,春秋,东周惠王姬阆,,惠王十六年,献公十六年,
公元前六百六十年,-660,辛酉,鸡,周朝,东周,春秋,东周惠王姬阆,,惠王十七年,献公十七年,
公元前六百五十九年,-659,壬戌,狗,周朝,东周,春秋,东周惠王姬阆,,惠王十八年,献公十八年,
公元前六百五十八年,-658,癸亥,猪,周朝,东周,春秋,东周惠王姬阆,,惠王十九年,献公十九年,
公元前六百五十七年,-657,甲子,鼠,周朝,东周,春秋,东周惠王姬阆,,惠王二十年,,
公元前六百五十六年,-656,乙丑,牛,周朝,东周,春秋,东周惠王姬阆,,惠王二十一年,,
公元前六百五十五年,-655,丙寅,虎,周朝,东周,春秋,东周惠王姬阆,,惠王二十二年,,
公元前六百五十四年,-654,丁卯,兔,周朝,东周,春秋,东周惠王姬阆,,惠王二十三年,,
公元前六百五十三年,-653,戊辰,龙,周朝,东周,春秋,东周惠王姬阆,,惠王二十四年,,
公元前六百五十二年,-652,己巳,蛇,周朝,东周,春秋,东周惠王姬阆,,惠王二十五年,,
公元前六百五十一年,-651,庚午,马,周朝,东周,春秋,东周襄王姬郑,,襄王元年,,
公元前六百五十年,-650,辛未,羊,周朝,东周,春秋,东周襄王姬郑,,襄王二年,,
公元前六百四十九年,-649,壬申,猴,周朝,东周,春秋,东周襄王姬郑,,襄王三年,,
公元前六百四十八年,-648,癸酉,鸡,周朝,东周,春秋,东周襄王姬郑,,襄王四年,,
公元前六百四十七年,-647,甲戌,狗,周朝,东周,春秋,东周襄王姬郑,,襄王五年,,
